Level I,Level II,Level III,Level IV,Level V,Level VI,Level VII,Level VIII,,,,,,,,,,,,,,,,,,
Role Profile,,,,,,,,,,,,,,,,,,,,,,,,,
,Development,,,,,,,,,,,,,,,,,,,,,,,,
,,Security,,,,,,,,,,,,,,,,,,,,,,,
,,Cloud,,,,,,,,,,,,,,,,,,,,,,,
,,,Cloud technologies,,,,,,,,,,,,,,,,,,,,,,
,,,,IaaS,,,,,,,,,,,,,,,,,,,,,
,,,,,Amazon Web Service (AWS),,,,,,,,,,,,,,,,,,,,
,,,,,Microsoft Azure,,,,,,,,,,,,,,,,,,,,
,,,,,Google Compute Engine (GCE),,,,,,,,,,,,,,,,,,,,
,,,,,OpenStack,,,,,,,,,,,,,,,,,,,,
,,,,PaaS,,,,,,,,,,,,,,,,,,,,,
,,,,,Force.com,,,,,,,,,,,,,,,,,,,,
,,,,,Apache Stratos,,,,,,,,,,,,,,,,,,,,
,,,,,Microsoft Azure,,,,,,,,,,,,,,,,,,,,
,,,,,Amazone BeansTalk,,,,,,,,,,,,,,,,,,,,
,,,,,Heroku,,,,,,,,,,,,,,,,,,,,
,,,,SaaS,,,,,,,,,,,,,,,,,,,,,
,,,,,Apprenda,,,,,,,,,,,,,,,,,,,,
,,,,,Google Apps,,,,,,,,,,,,,,,,,,,,
,,,,,Salesforce,,,,,,,,,,,,,,,,,,,,
,,,,,Cisco WebEx,,,,,,,,,,,,,,,,,,,,
,,,,,Citrix GoToMeeting,,,,,,,,,,,,,,,,,,,,
,,,Cloud Services,,,,,,,,,,,,,,,,,,,,,,
,,,,Data Service,,,,,,,,,,,,,,,,,,,,,
,,,,,SQL Database,,,,,,,,,,,,,,,,,,,,
,,,,,,Amazon Relational Database Service (RDS),,,,,,,,,,,,,,,,,,,
,,,,,,Azure SQL Database,,,,,,,,,,,,,,,,,,,
,,,,,,Google Cloud SQL,,,,,,,,,,,,,,,,,,,
,,,,,NoSQL Database,,,,,,,,,,,,,,,,,,,,
,,,,,,CouchDB,,,,,,,,,,,,,,,,,,,
,,,,,,Oracle NoSQL Database,,,,,,,,,,,,,,,,,,,
,,,,,,MongoDB,,,,,,,,,,,,,,,,,,,
,,,,,,Solr,,,,,,,,,,,,,,,,,,,
,,,,,,Amazon DynamoDB,,,,,,,,,,,,,,,,,,,
,,,,,,Microsoft Azure DocumentDB,,,,,,,,,,,,,,,,,,,
,,,,,Graph Database,,,,,,,,,,,,,,,,,,,,
,,,,,,MapGraph,,,,,,,,,,,,,,,,,,,
,,,,,,Neo4j,,,,,,,,,,,,,,,,,,,
,,,,,,IBM System G Native Store,,,,,,,,,,,,,,,,,,,
,,,,,,Oracle Spatial and Graph,,,,,,,,,,,,,,,,,,,
,,,,,,OrientDB,,,,,,,,,,,,,,,,,,,
,,,,,,VertexDB,,,,,,,,,,,,,,,,,,,
,,,,Message Queue / AMQP,,,,,,,,,,,,,,,,,,,,,
,,,,,RabbitMQ,,,,,,,,,,,,,,,,,,,,
,,,,,Amazon Simple Queue Service,,,,,,,,,,,,,,,,,,,,
,,,,,StormMQ,,,,,,,,,,,,,,,,,,,,
,,,,,IronMQ,,,,,,,,,,,,,,,,,,,,
,,,,CDN,,,,,,,,,,,,,,,,,,,,,
,,,,,Amazon CloudFront,,,,,,,,,,,,,,,,,,,,
,,,,,Azure CDN,,,,,,,,,,,,,,,,,,,,
,,,,,CloudFlare,,,,,,,,,,,,,,,,,,,,
,,,,Storage,,,,,,,,,,,,,,,,,,,,,
,,,,,Amazon Glacier,,,,,,,,,,,,,,,,,,,,
,,,,,Amazon Simple Storage Service (S3),,,,,,,,,,,,,,,,,,,,
,,,,,Amazon Elastic Block Store,,,,,,,,,,,,,,,,,,,,
,,,,,Azure Blob Storage Service,,,,,,,,,,,,,,,,,,,,
,,,,,Azure Table Storage Service,,,,,,,,,,,,,,,,,,,,
,,,,,Google Storage service,,,,,,,,,,,,,,,,,,,,
,,,,,DropBox,,,,,,,,,,,,,,,,,,,,
,,,,,OneDrive,,,,,,,,,,,,,,,,,,,,
,,,Data Analysis,,,,,,,,,,,,,,,,,,,,,,
,,,,Data Mining,,,,,,,,,,,,,,,,,,,,,
,,,,,SAS Enterprise Miner,,,,,,,,,,,,,,,,,,,,
,,,,,Microsoft Analysis Services,,,,,,,,,,,,,,,,,,,,
,,,,,IBM SPSS Modeler,,,,,,,,,,,,,,,,,,,,
,,,,,Oracle Data Mining,,,,,,,,,,,,,,,,,,,,
